IslandCode	MaxThreat	CurrentThreat	Population	Group	Heterogeneity	Area
AislaCraig	8.167463587	0	0	ABC	0.342929972	840879.576
ShiantIsles	8.5	0	0	OH	0.285456762	1680173.576
Easdale	8.5	0	59	Argyll	0.366272023	147510.3715
Scalpay	10.68986614	0	4	Highland	0.187731308	24571965.4
Eigg	8.973264972	0.4256062	83	Highland	0.222326068	29815807.48
IsleShuna	9.079318838	0.499486589	3	Argyll	0.346415785	4478090.009
Scarba	10.12818525	0.556151148	0	Argyll	0.10182335	13785884.63
Inchmarnock	9.317490223	0.80230512	0	ABC	0.32046942	2393046.056
Lunga	10.36629832	0.830045929	0	Argyll	0.01483798	2434111.673
ShunaIsland	9.212701024	0.94531133	0	Argyll	0.216994297	1567906.458
Muck	8.524063571	0.982182137	130	Highland	0.046325956	5330344.89
StKilda	8.522719276	0.986855886	15	OH	0.04504485	6827936.788
Canna	9.971253527	0.990735475	21	Highland	0.028725009	13024312.8
Ulva	10.27336966	1.529327479	13	Argyll	0.133338792	23873071.52
Rona	10.60000765	1.942926681	3	Highland	0.163424799	9831435.595
IsleMartin	10.83019917	1.963813279	0	Highland	0.120106008	1597332.061
Soay	10.7229539	1.969185814	1	Highland	0.107226591	10054428.23
Coll	10.0369268	1.970916189	195	Argyll	0.007625788	75311340.07
SummerIsles	10.814725	1.995663691	4	Highland	0.023592692	7988710.178
Tiree	10.814725	1.995663691	653	Argyll	0.010458593	77721214.81
BarraVatersay	9.989259239	2.091206679	1264	OH	0.005256695	89620722.05
Iona	9.062802067	2.527543339	177	Argyll	0.013039308	8333592.708
HolyIsle	10.62555644	2.967641207	31	ABC	0.177360551	2428651.243
Sanda	9.663700151	3	0	ABC	0.220527045	1526067.941
Handa	10.71839565	3	0	Highland	0.110617368	2993696.45
Lismore	9.071316246	3.006935756	192	Argyll	0.089248612	22758080.8
Seil	9.168818904	3.058463532	551	Argyll	0.202699495	13528943.52
Luing	9.182937394	3.116071806	195	Argyll	0.055551786	15475627.23
Cumbraes	9.389416411	3.159025555	1376	ABC	0.274226187	13271001.21
Rum	9.619193989	3.637250173	22	Highland	0.076584568	107070547.2
Islay	11.06167008	5.086132891	3228	Argyll	0.194451878	614787320
Kerrera	9.979147669	4.48394436	34	Argyll	0.032167491	12121455.8
Jura	10.4153595	4.64117868	196	Argyll	0.111032202	360691052.6
Bute	9.406508072	4.715079098	6498	ABC	0.309834696	118281459.3
Colonsay	10.16217483	4.928026653	132	Argyll	0.133290923	45231898.74
Arran	9.111210193	5.510390577	4629	ABC	0.347768542	424757923.7
TheUists	11.12512468	5.803621095	4566	OH	0.040610447	735952815.1
Raasay	10.08400293	6.514386946	161	Highland	0.218795911	62881700.03
Mull	9.459806089	8.060408726	2806	Argyll	0.30487599	889667257.6
LewisHarrisScalpay	11.67175068	8.228062909	21322	OH	0.04193271	2202047858
GighaCarra	9.280896219	9.260901904	163	Argyll	0.22895366	14677521.03
Skye	9.865610529	9.774392518	10008	Highland	0.241890328	1632972010
