Score	ObservedInferred	Confidence
Moderate	Observed	High
Major	Observed	Medium
MC	Inferred	Low
MC	Inferred	Low
Minor	Observed	High
Minor	Inferred	High
Minor	Inferred	Medium
Minor	Inferred	Medium
Moderate	Inferred	Low
Moderate	Observed	High
Moderate	Observed	High
Moderate	Observed	High
Major	Inferred	Medium
Major	Observed	High
Major	Observed	Medium
Moderate	Inferred	Low
MC	Observed	High
Moderate	Inferred	Low
Moderate	Observed	High
Moderate	Observed	Low
Moderate	Observed	High
Moderate	Observed	High
Moderate	Inferred	Low
Moderate	Observed	Low
Moderate	Observed	Low
Moderate	Observed	High
Moderate	Observed	Low
Moderate	Inferred	Medium
Moderate	Inferred	Medium
Moderate	Inferred	Low
Moderate	Observed	Medium
Moderate	Inferred	Medium
Minor	Inferred	Low
Minor	Inferred	Low
Minor	Observed	Medium
Moderate	Inferred	Medium
Major	Inferred	High
Major	Observed	High
Moderate	Inferred	Medium
Moderate	Inferred	Medium
Major	Inferred	Low
Minor	Inferred	Medium
Major	Inferred	Medium
Moderate	Inferred	Medium
Moderate	Observed	High
Major	Inferred	High
Moderate	Inferred	Medium
Moderate	Inferred	Medium
Moderate	Inferred	Medium
Moderate	Inferred	Medium
Minor	Inferred	Low
Moderate	Inferred	Medium
Moderate	Observed	High
Moderate	Inferred	Medium
Moderate	Inferred	Medium
Moderate	Inferred	Low
Moderate	Inferred	Medium
Moderate	Inferred	Medium
Minor	Inferred	Low
Moderate	Inferred	Low
Major	Inferred	Low
Major	Inferred	Low
Major	Inferred	Low
MC	Inferred	Low
Minor	Inferred	Low
Minor	Inferred	Low
Minor	Observed	High
Moderate	Inferred	Low
Minor	Inferred	Low
Minor	Inferred	Low
Minor	Observed	High
Moderate	Inferred	Low
Moderate	Inferred	Low
Moderate	Inferred	Low
Moderate	Inferred	Low
Moderate	Inferred	Medium
Moderate	Inferred	Low
Moderate	Inferred	Low
Minor	Observed	Medium
Moderate	Inferred	Low
Moderate	Observed	Medium
Moderate	Inferred	Low
Moderate	Inferred	Low
Major	Observed	Medium
Major	Inferred	Medium
Moderate	Inferred	Medium
Major	Inferred	Medium
Minor	Observed	Medium
Minor	Observed	High
Massive	Inferred	Medium
Minor	Inferred	Medium
Moderate	Inferred	Low
Moderate	Inferred	Low
Moderate	Inferred	High
Moderate	Inferred	Low
Minor	Inferred	Low
Moderate	Inferred	Medium
Major	Inferred	Medium
Moderate	Inferred	Medium
Moderate	Observed	Medium
Moderate	Inferred	Medium
MC	Inferred	Medium
MC	Inferred	Low
Moderate	Inferred	Low
Minor	Inferred	Low
Minor	Inferred	Low
Moderate	Inferred	Low
Moderate	Inferred	Low
Moderate	Inferred	Low
Moderate	Inferred	Low
Minor	Inferred	Low
Major	Inferred	Low
Moderate	Inferred	Low
Minor	Inferred	Low
MC	Inferred	Medium
Minor	Observed	High
Minor	Observed	Medium
Minor	Inferred	Medium
Major	Inferred	Medium
Major	Inferred	Low
Moderate	Inferred	High
Minor	Observed	High
Moderate	Inferred	Medium
Moderate	Observed	Low
Major	Inferred	High
MC	Observed	High
Minor	Inferred	Medium
Moderate	Observed	Medium
Moderate	Observed	High
Minor	Inferred	Low
Moderate	Observed	High
Moderate	Inferred	Medium
Massive	Observed	High
MC	Inferred	Medium
Moderate	Observed	High
Massive	Observed	High
Major	Inferred	Medium
Moderate	Inferred	Medium
Moderate	Inferred	Low
MC	Inferred	Low
Major	Inferred	Low
Minor	Observed	High
Moderate	Observed	Medium
Major	Inferred	Medium
Major	Observed	Medium
Major	Inferred	Low
Major	Inferred	High
