Species	Climate
Cnippon	Scot
Cnippon	UK
Cnippon	UK
Cnippon	EUtemp
Cnippon	UK
Cnippon	UK
Cnippon	EU
Cnippon	EU
Cnippon	UK
Cnippon	UK
Cnippon	Scot
Cnippon	Scot
Cnippon	EU
Cnippon	UK
Cnippon	UK
Cnippon	EU
Cnippon	Scot
Cnippon	UK
Cnippon	Scot
Cnippon	EU
Cnippon	Scotisland
Cnippon	Scot
Cnippon	EU
Cnippon	EU
Cnippon	EU
Cnippon	UK
Cnippon	EU
Cnippon	UK
Cnippon	UK
Cnippon	EU
Cnippon	UK
Cnippon	EU
Cnippon	UK
Nvison	UK
Nvison	UK
Nvison	EUislandtemp
Nvison	Scotisland
Nvison	EUislandtemp
Nvison	Scotisland
Nvison	Scotisland
Nvison	NonEU
Nvison	UK
Nvison	Scotisland
Nvison	EUislandtemp
Nvison	EUislandtemp
Nvison	EUislandtemp
Nvison	EUislandtemp
Nvison	EUislandtemp
Nvison	EU
Nvison	EUtemp
Nvison	EU
Nvison	EUtemp
Nvison	EUislandtemp
Nvison	EUisland
Nvison	EU
Nvison	EU
Nvison	EUtemp
Lamericanus	UK
Lamericanus	UK
Lamericanus	UK
Lamericanus	EUtemp
Lamericanus	EUtemp
Lamericanus	EUtemp
Bcanadensis	NonEU
Bcanadensis	EUtemp
Bcanadensis	EUtemp
Bcanadensis	UK
Bcanadensis	EUtemp
Bcanadensis	NonEUisland
Bcanadensis	NonEU
Bcanadensis	EUtemp
Bcanadensis	EU
Bcanadensis	NonEUisland
Bcanadensis	EU
Bcanadensis	EU
Bcanadensis	EUtemp
Bcanadensis	EUtemp
Bcanadensis	EU
Hranunculoides	EUtemp
Hranunculoides	EUtemp
Hranunculoides	EUtemp
Hranunculoides	EUtemp
Hranunculoides	EUtemp
Hranunculoides	EUtemp
Hranunculoides	EUtemp
Hranunculoides	UK
Hranunculoides	EUtemp
Hranunculoides	EU
Hranunculoides	UK
Hranunculoides	EUtemp
Hranunculoides	UK
Hranunculoides	NonEU
Hranunculoides	EUisland
Gunnera	UKisland
Gunnera	EU
Gunnera	EU
Gunnera	UKisland
Gunnera	UKisland
Gunnera	UKisland
Gunnera	UKisland
Gunnera	UK
Gunnera	UK
Gunnera	UK
Cselloana	EU
Cselloana	NonEU
Cselloana	NonEU
Cselloana	EU
Cselloana	EU
Cselloana	EU
Cselloana	EU
Cselloana	EU
Cselloana	EUtemp
Cselloana	EU
Cselloana	EU
Rponticum	UK
Rponticum	UK
Rponticum	UK
Rponticum	UK
Rponticum	UK
Rponticum	EU
Rponticum	UK
Rponticum	UK
Rponticum	UK
Rponticum	UK
Rponticum	UKisland
Rponticum	UK
Rponticum	UK
Rponticum	UK
Rponticum	EU
Rponticum	EU
Rponticum	UK
Rponticum	UK
Rponticum	Scot
Rponticum	UK
Rponticum	Scotisland
Rponticum	UK
Elodea	EUtemp
Elodea	EUtemp
Elodea	EU
Elodea	EU
Elodea	EU
Elodea	NA
Elodea	EUtemp
Elodea	EUtemp
Elodea	EUtemp
Elodea	EU
Elodea	Scot
