Species	Mechanism	Impact
Bcanadensis	Chemical	MC
Bcanadensis	Competition	Minor
Bcanadensis	Herbivory	Minor
Bcanadensis	Indirect	Minor
Bcanadensis	Chemical	Moderate
Bcanadensis	Indirect	Minor
Bcanadensis	Structural	Minor
Bcanadensis	Competition	Minor
Bcanadensis	Chemical	Moderate
Bcanadensis	Indirect	Moderate
Bcanadensis	Structural	Moderate
Bcanadensis	Competition	Moderate
Bcanadensis	Disease	Moderate
Bcanadensis	Hybridisation	Moderate
Bcanadensis	Hybridisation	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Indirect	Major
Cnippon	Competition	MC
Cnippon	Disease	MC
Cnippon	Disease	Minor
Cnippon	Disease	Minor
Cnippon	Disease	Minor
Cnippon	Herbivory	Minor
Cnippon	Structural	Moderate
Cnippon	Herbivory	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Herbivory	Major
Cnippon	Hybridisation	Major
Cnippon	Hybridisation	Major
Cnippon	Hybridisation	Moderate
Cnippon	Hybridisation	MC
Cnippon	Hybridisation	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Herbivory	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Herbivory	Moderate
Cnippon	Competition	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Hybridisation	Moderate
Cnippon	Structural	Minor
Cselloana	Structural	Moderate
Cselloana	Competition	Minor
Cselloana	Competition	Minor
Cselloana	Competition	Moderate
Cselloana	Competition	Moderate
Cselloana	Competition	Moderate
Cselloana	Competition	Moderate
Cselloana	Chemical	Minor
Cselloana	Competition	Major
Cselloana	Competition	Moderate
Cselloana	Structural	Minor
Cselloana	Physical	Minor
Cselloana	Physical	Moderate
Elodea	Chemical	Major
Elodea	Competition	Moderate
Elodea	Competition	Moderate
Elodea	Competition	MC
Elodea	Competition	Major
Elodea	Chemical	Minor
Elodea	Physical	Moderate
Elodea	Competition	Major
Elodea	Indirect	Major
Elodea	Competition	Major
Elodea	Competition	Major
Elodea	Chemical	MC
Gunnera	Competition	Moderate
Gunnera	Competition	Moderate
Gunnera	Structural	Minor
Gunnera	Competition	Moderate
Gunnera	Competition	Major
Gunnera	Competition	Moderate
Gunnera	Competition	Moderate
Gunnera	Competition	Moderate
Gunnera	Chemical	MC
Gunnera	Disease	MC
Gunnera	Physical	MC
Hranunculoides	Chemical	Minor
Hranunculoides	Chemical	Moderate
Hranunculoides	Chemical	Moderate
Hranunculoides	Competition	Moderate
Hranunculoides	Chemical	Moderate
Hranunculoides	Competition	Major
Hranunculoides	Competition	Major
Hranunculoides	Competition	Moderate
Hranunculoides	Physical	Major
Hranunculoides	Poisoning	Minor
Hranunculoides	Poisoning	Minor
Hranunculoides	Structural	Massive
Hranunculoides	Structural	Minor
Hranunculoides	Structural	Moderate
Hranunculoides	Structural	Moderate
Lamericanus	Competition	Moderate
Lamericanus	Competition	Minor
Lamericanus	Competition	Moderate
Lamericanus	Competition	Major
Lamericanus	Competition	Major
Lamericanus	Physical	Major
Lamericanus	Physical	Major
Lamericanus	Structural	Major
Nvison	Disease	Minor
Nvison	Disease	Minor
Nvison	Indirect	Moderate
Nvison	Predation	Major
Nvison	Predation	Major
Nvison	Predation	Moderate
Nvison	Predation	Moderate
Nvison	Predation	Major
Nvison	Predation	Minor
Nvison	Predation	Major
Nvison	Predation	Moderate
Nvison	Predation	Moderate
Nvison	Predation	Major
Nvison	Predation	Moderate
Nvison	Predation	Moderate
Nvison	Predation	Moderate
Nvison	Predation	Moderate
Nvison	Predation	Minor
Nvison	Predation	Moderate
Nvison	Predation	Moderate
Nvison	Predation	Moderate
Nvison	Predation	Moderate
Nvison	Predation	Moderate
Nvison	Predation	Moderate
Rponticum	Chemical	MC
Rponticum	Chemical	Minor
Rponticum	Competition	Minor
Rponticum	Structural	Minor
Rponticum	Competition	Major
Rponticum	Competition	Major
Rponticum	Disease	Moderate
Rponticum	Indirect	Minor
Rponticum	Disease	Moderate
Rponticum	Disease	Moderate
Rponticum	Structural	Major
Rponticum	Indirect	MC
Rponticum	Indirect	Minor
Rponticum	Poisoning	Moderate
Rponticum	Poisoning	Moderate
Rponticum	Poisoning	Minor
Rponticum	Physical	Moderate
Rponticum	Structural	Moderate
Rponticum	Structural	Massive
Rponticum	Structural	MC
Rponticum	Structural	Moderate
Rponticum	Structural	Massive
Rponticum	Physical	Minor
Rponticum	Physical	Major
Rponticum	Structural	Moderate
